Place,Handle,Solved,Penality,,,,,,
1, Codexknight.sj,6,424,+00:02,+00:07,+101:09,+401:02,+01:15,+101:29
2,JugalAhir,5,136,+00:01,+00:09,,+00:17,+00:28,+101:01
3, vansh1705,5,183,+00:01,+100:25,+01:06,+00:12,+00:59,-2
4,gun_rohra,5,205,+00:04,+00:12,,+100:21,+100:45,+01:23
5,_Encrypted,5,258,+00:01,+200:34,+00:49,+00:17,+201:17,-4
6, Bansi_Mahkana,5,296,+00:01,+101:01,+00:51,+101:06,+01:17,
7,Aplapato_,5,304,+100:08,+00:14,+101:07,+00:24,+401:11,-3
8, Purvish,4,25,+00:01,+00:04,-2,+00:08,+00:12,
9, Nirav1729,4,28,+00:01,+00:04,,+00:10,+00:13,-4
10,urvilchodvadiya,4,116,+00:02,+00:12,,+00:36,+100:46,
11,BansariJani,4,144,+00:01,+00:19,+01:12,+100:32,,-1
12,Nikkesh_Parekh,4,163,+00:09,+200:22,+01:03,+00:29,-1,
13,VatsalParsaniya,4,201,+00:02,+00:45,,+00:52,+101:22,
14,saumya.d,4,214,+00:08,+00:49,+01:29,+01:08,,
14,dhriti.g,4,214,+00:04,+00:39,,+01:09,+101:22,
16,ShashwatGohel,4,246,+00:04,+200:34,,+200:49,+100:59,
17,vhsay,4,274,+300:11,+100:16,,+200:41,-1,+101:06
18,Coder_Virja13,4,279,+00:05,+301:22,+01:13,+100:39,,
19, Kraz_462,4,295,+00:03,+200:20,,+200:57,+301:15,
20,codewithkhushi,4,306,+00:08,+301:16,+01:22,+200:40,,
21,dhruvi.d3,4,348,+00:06,+401:24,+201:21,+100:37,,
22, Kavish_Vachheta_01,4,382,+00:02,+401:19,,+500:56,+01:05,
23,AashiBhimjiyani,4,395,+200:08,+201:06,,+100:35,+501:26,
24,Nitant_Jain,3,29,+00:01,+00:20,,+00:08,-3,
25,hetanshu,3,32,+00:00,+00:10,,,+00:22,-1
26,aneri.k,3,61,+00:05,+00:14,-1,+00:42,-3,
27, Krish05Codeforces,3,71,+00:02,+100:15,+00:34,-3,,-1
28,Parinn_7,3,83,+00:01,+00:11,,+200:31,,-4
29, CipherNerds,3,98,+00:01,+01:14,,+00:23,-1,-1
30,Kaushika.r,3,106,+00:02,+00:07,-1,+300:37,-3,-1
31,nirmam187,3,113,+00:04,+00:24,+101:05,,,
32, Harsh__Patel,3,119,+00:01,+00:21,,+200:57,-2,
33, akshatp019,3,123,+00:22,+00:33,,+100:48,,
33, shprl0711,3,123,+00:03,+100:15,,+101:05,,
35,DHANVI_J,3,129,+00:03,+00:35,,+101:11,-1,
36, CodeCrafter1508,3,135,+00:16,+100:36,,+100:43,,
37,Sakshi_coder,3,137,+00:03,,+01:17,+100:37,-4,
38, TheCodster,3,145,+00:01,-2,,+100:44,,+01:20
39,Jainik.p,3,147,+00:23,+01:06,,+00:58,,
40,Hritik029,3,154,+00:07,+100:44,+01:23,,-3,
41,_hitaksh_thaker,3,183,+00:08,+201:04,,+100:51,-1,
42,Priyam_30,3,186,+00:01,+00:41,-1,+301:24,,
43,nandan_5745,3,198,+00:02,+201:20,,+01:16,,
44, Dhairya05,3,199,+00:02,+101:02,,+201:15,-1,
45, Code_sensei_404,3,316,+00:02,+601:09,,+301:05,,-2
46, tanmay.k,3,333,+00:00,+301:24,,+501:29,-2,-1
47,Nandan2603,3,345,+00:07,+301:14,,+701:04,,
48, anshmehta_20,2,6,+00:01,+00:05,,-2,-4,-1
49, aashakaa,2,26,+00:02,+00:24,-3,-3,,
50, utsavx13,2,34,+00:09,+00:25,,-1,-3,
51, CodeSnug,2,39,+00:03,+00:36,,-2,,
52,MokshaCS21,2,42,+00:10,+00:32,,-1,,
53,Nova_Byte,2,46,+00:04,-3,,+100:22,,-1
54,yendugula.s,2,60,+00:02,+100:38,,,,
55,Path_Z,2,66,+00:21,+00:45,,-3,,
56, F.R.I.D.A.Y.,2,68,+00:03,,,+01:05,-2,
56,ap9120863,2,68,+00:11,+100:37,,,,
58,Saumya459,2,72,+00:19,,,+00:53,,
59,jiya068,2,91,+00:19,-1,,+100:52,,
60,sachin1087,2,128,+00:04,,,+301:04,,
